Sales Qty,,,,,2024,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,MTD CY-1,MTD CY-1,MTD CY-1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,MTD-1,MTD-1,MTD-1,MTD-3,MTD-3,MTD-3,MTD-2,MTD-2,MTD-2,MTD-2,MTD,MTD,MTD,Open
HROCK EAST,BROKEN HILL OPERATIONS PTY LTD,BROKEN HILL OPERATIONS P/L (JA047),CCP45241010056G,MESH MINE 4.5MX2.4M 100X100 AP IMG5H-44-4524_JEN,,100,100,,900,550,450,600,850,450,1350,800,1200,,,,,,,,,500,400,,,,,,550,,,,150,300,,,,250,100,,350,,350,500,,200,,,,400,400,,,,,100,,,,400,,,100,150,250,,400,300,400,400,400,
HROCK EAST,BROKEN HILL OPERATIONS PTY LTD,BROKEN HILL OPERATIONS P/L (JA047),CS1527001BM    ,CABLE REEL 15.2MMX700M - 1 BULB PER/M 1 Reel x700M Per palet ,,,,6,,10,,1,2,11,1,,8,,,,,,,,6,,,,,,,,,10,,,,,,,,1,,,,,2,,,7,,,,,,,,,,,,,,,,,4,,,1,,,8,,,
HROCK EAST,BROKEN HILL OPERATIONS PTY LTD,BROKEN HILL OPERATIONS P/L (JA047),EB16CS         ,CONE & SHELL 16MM 50 UNITS PER PACK,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HROCK EAST,BROKEN HILL OPERATIONS PTY LTD,BROKEN HILL OPERATIONS P/L (JA047),EB2406B        ,EYE BOLT 24MM X 600MM ,,,,100,,,,,,,20,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,
HROCK EAST,BROKEN HILL OPERATIONS PTY LTD,BROKEN HILL OPERATIONS P/L (JA047),ES2443RHT      ,EXPANSION SHELL M24 RIGHT HAND THREAD - 43MM 20 UNITS PER PACK,,,100,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,20,,,,,
HROCK EAST,BROKEN HILL OPERATIONS PTY LTD,BROKEN HILL OPERATIONS P/L (JA047),JFL390910G     ,FRICTION LOK BOLT 39MMX900MM + 10MM RING - GAL 150 BOLTS PER PACK,,150,,,900,,,,300,600,300,600,450,,,,,,,,,900,,,,,,,,,,,,,,,,,150,,,,,300,,,,,150,150,150,,,,,,,,150,150,150,,600,,,,,,150,150,150,
HROCK EAST,BROKEN HILL OPERATIONS PTY LTD,BROKEN HILL OPERATIONS P/L (JA047),JFL4709B       ,Friction Lok 47 x 900mm Blk,,,,,900,1350,450,150,150,750,1350,600,750,,,,,,,,,,900,,,,,,900,450,,,150,300,,,,150,,,,,,,150,300,,,150,150,150,,,,,,,,150,150,150,,450,,300,,750,,150,300,300,
HROCK EAST,BROKEN HILL OPERATIONS PTY LTD,BROKEN HILL OPERATIONS P/L (JA047),JFL4709G       ,FRICTION LOK BOLT 47MMX900MM - GAL 150 BOLTS PER PACK,,,,,,600,,,600,,450,600,450,,,,,,,,,,,,,,,,,,600,,,,,,,,,,,,600,,,,,,,,300,,,,,,,,,,300,,,,,,450,,,450,,
HROCK EAST,BROKEN HILL OPERATIONS PTY LTD,BROKEN HILL OPERATIONS P/L (JA047),JFL4724G       ,FRICTION LOK BOLT 47MMX2400MM - GAL 150 BOLTS PER PACK,,600,150,,5850,2400,8700,4050,4500,7650,5700,5400,4050,,,,,,,,,2700,3150,,,,,,,2400,,4650,1350,2700,,,,,600,2700,1350,,3000,900,600,3750,,,1350,1350,1350,,,,,,,150,1350,1350,1350,,3900,,,,3000,,1350,1350,1350,
HROCK EAST,BROKEN HILL OPERATIONS PTY LTD,BROKEN HILL OPERATIONS P/L (JA047),JIHS02         ,"""10T 6"""" CYLINDER BARREL"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
HROCK EAST,BROKEN HILL OPERATIONS PTY LTD,BROKEN HILL OPERATIONS P/L (JA047),JIHS03         ,"""10T 6"""" CYLINDER INNER"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
HROCK EAST,BROKEN HILL OPERATIONS PTY LTD,BROKEN HILL OPERATIONS P/L (JA047),JIHS04         ,"""10T 6"""" CYLINDER PISTON"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
HROCK EAST,BROKEN HILL OPERATIONS PTY LTD,BROKEN HILL OPERATIONS P/L (JA047),JIHS05         ,10T MONO JACK FLAT NOSE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
HROCK EAST,BROKEN HILL OPERATIONS PTY LTD,BROKEN HILL OPERATIONS P/L (JA047),JIHS06         ,10T MONO STRESSING JACK TAILPIPE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
HROCK EAST,BROKEN HILL OPERATIONS PTY LTD,BROKEN HILL OPERATIONS P/L (JA047),JIHS07         ,10T SEAL KIT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
HROCK EAST,BROKEN HILL OPERATIONS PTY LTD,BROKEN HILL OPERATIONS P/L (JA047),JIHS09         ,TAIL PIPE SPRING ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
HROCK EAST,BROKEN HILL OPERATIONS PTY LTD,BROKEN HILL OPERATIONS P/L (JA047),JK20200550H2LG ,KANGA PLATE 200X200X5MM 50MM HOLE 2 HANGERS LOOP G 500 PLATES PER PALLET,,,,,1500,2000,3000,,500,1000,1500,2000,1500,,,,,,,,,1500,,,,,,,1500,500,,,,3000,,,,,,,,,,500,,500,,,500,500,500,,,,,,,,500,500,500,,500,,500,,,,500,500,500,
HROCK EAST,BROKEN HILL OPERATIONS PTY LTD,BROKEN HILL OPERATIONS P/L (JA047),JML4724G       ,MECH LOK BOLT 47MM X 2400MM - GAL 120 UNITS PER PACK,210,225,,,1080,1080,1800,360,720,1080,2040,1440,1080,,,210,105,,,,,1080,,,,,,120,1080,,,720,360,720,,,,,,360,,,360,240,120,360,,,360,360,360,,,,,,,,360,360,360,,480,240,600,,,720,360,360,360,
HROCK EAST,BROKEN HILL OPERATIONS PTY LTD,BROKEN HILL OPERATIONS P/L (JA047),JR20200450     ,ROLL TOP PLATE 200X200X4MM 50MM HOLE BLACK 500 PLATES PER PALLET,,,,,1000,500,2000,,1000,500,2500,2000,1500,,,,,,,,,,1000,,,,,,,500,,,,2000,,,,,,,,,1000,,,,,,500,500,500,,,,,,,,500,500,500,,500,,500,,,1000,500,500,500,
HROCK EAST,BROKEN HILL OPERATIONS PTY LTD,BROKEN HILL OPERATIONS P/L (JA047),JR20200450G    ,ROLL TOP PLATE 200X200X4MM 50MM HOLE GAL 500 PLATES PER PALLET,500,500,,,6000,4000,8000,5500,8000,7000,10500,6000,4500,,,500,,,,,,3000,3000,,,,,,,4000,,6000,,2000,,,,1500,500,2000,2000,,5000,2000,1000,2000,,,1500,1500,1500,,,,,,,,1500,1500,1500,,4500,500,4500,,,3000,1500,1500,1500,
HROCK EAST,BROKEN HILL OPERATIONS PTY LTD,BROKEN HILL OPERATIONS P/L (JA047),JTECHEYENUT    ,J-TECH EYE NUT 25MM RATED AT WLL 3 TONNE ,,,,,,50,,,,20,60,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,20,,,50,,,,,,,,,,,,,,,,10,,,,,,,
HROCK EAST,BROKEN HILL OPERATIONS PTY LTD,BROKEN HILL OPERATIONS P/L (JA047),JTNUT125DHANGG ,J-TECH NUT HANGER 25MM M6 X 1.25D - GALVANISED 50 UNITS PER PACK,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,
HROCK EAST,BROKEN HILL OPERATIONS PTY LTD,BROKEN HILL OPERATIONS P/L (JA047),JTW152IHS      ,TENSIONER WEDGES 15.2MM X 10T ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
HROCK EAST,BROKEN HILL OPERATIONS PTY LTD,BROKEN HILL OPERATIONS P/L (JA047),PULL47G        ,PULL COLLAR TO SUIT 47MM DIA FRICTION LOK - GAL ,,50,,,350,150,500,150,150,300,100,200,600,,,,,,,,,350,,,,,,,,150,,350,50,100,,,,,50,100,50,,100,,50,200,,,50,50,50,,,,,,,,50,50,50,,100,,,,,,50,350,200,
HROCK EAST,BROKEN HILL OPERATIONS PTY LTD,BROKEN HILL OPERATIONS P/L (JA047),SMF4524101005  ,MESH Mine 4.5M X 2.4M 100X100 APT 5.0MM WIRE ,,,,,400,300,150,,100,300,400,300,500,,,,,,,,,,,,400,,,,300,,,,50,100,,,,,,,,,100,,,150,,,,150,150,,,,,,,,,150,,,100,50,100,,150,,150,200,150,
HROCK EAST,BROKEN HILL OPERATIONS PTY LTD,BROKEN HILL OPERATIONS P/L (JA047),T38D47FL10     ,DOLLIE T38 COMBINATION FRICTION LOK ,,,,,9,,,,,,,,,,,,,,,,,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HROCK EAST,BROKEN HILL OPERATIONS PTY LTD,BROKEN HILL OPERATIONS P/L (JA047),T38WIL90036AF  ,DOLLIE T38 X 36AF 900MM LONG TO SUIT J-TECH WILCO,,,,,8,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HROCK EAST,CENTRAL DEEP HOLE DRILLING SER,CENTRAL DEEP HOLE DRILLING SERV P/L (JA603),JL5H240026FSP  ,"J-LOK 5* DUAL TWIN 1200X26MM FAST/SLOW P/CHUTE RESIN - 9 CAPSULES/BOX, 378/PALLET (42 BOXES)",,,,,,,,,,,,,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378,,,
HROCK EAST,CENTRAL VICTORIAN MINING SUPPL,CENTRAL VICTORIAN MINING SUPPLIES (JA415),4FREIGHT       ,Freight Out Charge ,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
HROCK EAST,CENTRAL VICTORIAN MINING SUPPL,CENTRAL VICTORIAN MINING SUPPLIES (JA415),EB2006B        ,EYE BOLT 20MM X 600MM ,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,
HROCK EAST,CENTRAL VICTORIAN MINING SUPPL,CENTRAL VICTORIAN MINING SUPPLIES (JA415),EB20CS         ,CONE & SHELL 20MM ,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,
HROCK EAST,CMOC T/A NORTHPARKES MINE     ,NORTHPARKES MINING SERVICES P/L (JA189),BW152MM        ,BARREL & WEDGE TO SUIT 15.2MM CABLE CA0147,,,400,,,,200,200,,100,,,400,,,,,,,,,,,,,,,,,,,,200,,,200,,,,,,,,,,,,,,,,,,,,,400,,,,,,100,,,,,,200,,200,
HROCK EAST,CMOC T/A NORTHPARKES MINE     ,NORTHPARKES MINING SERVICES P/L (JA189),CCP40241010056G,MESH MINE 4.0MX2.4M 100X100 APT 5.6MM WIRE - GAL IMG5H-44-4024,,,,600,1200,,,,,,,,,,,,,,,,,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HROCK EAST,CMOC T/A NORTHPARKES MINE     ,NORTHPARKES MINING SERVICES P/L (JA189),CCP45241010056G,MESH MINE 4.5MX2.4M 100X100 AP IMG5H-44-4524_JEN,,,550,550,,,1650,,550,550,550,1100,550,,,,,,550,,,,,,,,,,,,,,550,550,550,,,,,,,550,,,,,,,,,,,,,,,,550,,,1100,,,550,,550,,,,550,,1100
HROCK EAST,CMOC T/A NORTHPARKES MINE     ,NORTHPARKES MINING SERVICES P/L (JA189),CS1526001BM    ,CABLE REEL 15.2MM X 600M - 1 BULB PER METRE 1 REEL X 600M PER PALLET,,2,,,2,,,,5,,,,4,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,5,,2,,,,,,,,,,,,,,,,,,,,,,4,,,
HROCK EAST,CMOC T/A NORTHPARKES MINE     ,NORTHPARKES MINING SERVICES P/L (JA189),FRASP2802      ,PLASTIC MESH 28.00M X 2.00M ROLL ,,,,,,,,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,5,,,
HROCK EAST,CMOC T/A NORTHPARKES MINE     ,NORTHPARKES MINING SERVICES P/L (JA189),JCLIPUPPLR52   ,CLIPUP PIPE LINE HANGER - 3 HOOK CHAIN/RING ,150,,,,,,,,,,,500,250,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,250,,,
HROCK EAST,CMOC T/A NORTHPARKES MINE     ,NORTHPARKES MINING SERVICES P/L (JA189),JCP28390150450G,COMBI PLATE 280X300 + R150X4MM ROLL TOP 50MM H GAL 250 PLATES PER PALLET,,,,1000,6250,,,7500,,,500,2500,1750,,,,,250,,,750,1500,,1750,,3000,,,,,,,,,,1000,,,,6500,,,,,,,,,,,,,,,,,,,1000,,1500,,,,,,500,,1500,,250,
HROCK EAST,CMOC T/A NORTHPARKES MINE     ,NORTHPARKES MINING SERVICES P/L (JA189),JCP2839K41HG   ,COMBI PLATE 280X300 +K150X5MM TOP PLATE 41MM H GAL 250 PLATES PER PALLET,2500,,750,750,4250,5000,2500,10500,,1000,3250,4250,1750,,,2500,,500,250,,,500,,1750,,2000,1000,,3000,1000,,,,,2500,1500,,,,7000,2000,,,,,,,,,,1250,,,,750,,,,2000,,1000,,,1000,500,,750,2000,1500,,250,
HROCK EAST,CMOC T/A NORTHPARKES MINE     ,NORTHPARKES MINING SERVICES P/L (JA189),JF202010202    ,FLAT PLATE 200X200X10MM 2 X 20MM HOLES BLACK 250 PLATES PER PALLET,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HROCK EAST,CMOC T/A NORTHPARKES MINE     ,NORTHPARKES MINING SERVICES P/L (JA189),JFL390910G     ,FRICTION LOK BOLT 39MMX900MM + 10MM RING - GAL 150 BOLTS PER PACK,,600,600,1050,1500,300,1500,3000,,1500,,2100,1500,,,,,,600,,450,,,,,1500,,,,300,,,,1500,,3000,,,,,,,,,,,600,,,,,,,,600,,,,600,,1500,,1500,,,,,,1500,,,
HROCK EAST,CMOC T/A NORTHPARKES MINE     ,NORTHPARKES MINING SERVICES P/L (JA189),JFL4724G       ,FRICTION LOK BOLT 47MMX2400MM - GAL 150 BOLTS PER PACK,,1500,,2550,,6000,,2100,2400,2100,,2250,1500,,,,1500,1500,,,1050,,,,,,1500,,2250,750,1500,,,,,,,,,2100,,2400,,,,,,,,,1200,,,,,,,,,,1050,,2100,,,,,,1500,,,
HROCK EAST,CMOC T/A NORTHPARKES MINE     ,NORTHPARKES MINING SERVICES P/L (JA189),JK20200550H2LG ,KANGA PLATE 200X200X5MM 50MM HOLE 2 HANGERS LOOP G 500 PLATES PER PALLET,,4500,1500,4000,2500,1500,4000,3500,,500,1500,4500,1500,,,,3000,2000,,,2000,,,1000,,1500,1500,,,,,,3000,,1000,3500,,,,,,,,,,,1500,,,,,,,,1500,,,,2000,,2500,,,500,1500,,,,1500,,,
HROCK EAST,CMOC T/A NORTHPARKES MINE     ,NORTHPARKES MINING SERVICES P/L (JA189),JL5H240030FSP  ,"J-LOK 5* DUAL TWIN 1200X30MM FAST/SLOW P/CHUTE RESIN - 7 CAPSULES/BOX, 294/PALLET (42 BOXES)",588,2352,1176,2352,1176,2058,3717,1176,5292,2352,3528,,3528,,,588,,,,1176,1176,,,,,1176,,,,1470,588,189,1764,1764,,,,1176,,,,1764,,2352,1176,,1176,,,,,1176,,,,,1176,,,,,,,2352,1176,,2352,,1764,1764,,
HROCK EAST,CMOC T/A NORTHPARKES MINE     ,NORTHPARKES MINING SERVICES P/L (JA189),JM20032M6GD    ,"MESH PLATE 200MM ROUND X2.5MM, M6 DOMED NUT - GAL 250 PLATES PER PALLET",,,250,250,250,1000,750,2250,,500,1500,500,500,,,,,,250,,,,,250,,,,,,1000,,,250,,500,750,,,,,1500,,,,,,,,,,500,,,,,,250,,,,,,500,,500,,,1000,500,,,
HROCK EAST,CMOC T/A NORTHPARKES MINE     ,NORTHPARKES MINING SERVICES P/L (JA189),JML4724G       ,MECH LOK BOLT 47MM X 2400MM - GAL 120 UNITS PER PACK,,3480,1440,3000,1560,4200,,3480,,3240,2400,2520,1560,,,,480,1440,120,,1440,,1440,120,,,4200,1680,,,,,,,,,2880,600,,,,,,,,1200,1320,,,1200,1080,,,,,1440,,,,,1440,,,2040,,1200,,,1440,120,,
HROCK EAST,CMOC T/A NORTHPARKES MINE     ,NORTHPARKES MINING SERVICES P/L (JA189),JRIKT38B36     ,RESIN INSERTER KIT COMPLETE 30MM X 3.6M - T38 ,100,,40,,,,20,,,,,,,,,100,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,
HROCK EAST,CMOC T/A NORTHPARKES MINE     ,NORTHPARKES MINING SERVICES P/L (JA189),JTB2524TTNPHGP ,J-TECH BOLT 25MMX2.4M H PIN NUT + PADDLES - GAL 100 UNITS PER PACK,2500,,1700,,5500,5200,,10600,,,,1000,2500,,1500,1000,,,,,,500,,3300,,1700,3300,,1900,,,,,,,,3900,1000,,4900,800,,,,,,,,,,1000,,,,1000,,700,,,,,,,,,,,,1000,1500,,
HROCK EAST,CMOC T/A NORTHPARKES MINE     ,NORTHPARKES MINING SERVICES P/L (JA189),JTECHEYENUT    ,J-TECH EYE NUT 25MM RATED AT WLL 3 TONNE ,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
HROCK EAST,CMOC T/A NORTHPARKES MINE     ,NORTHPARKES MINING SERVICES P/L (JA189),M20NUT125DHANGG,J-TECH NUT HANGER 20MM M20 X 1.25D - GAL 50 UNITS PER PACK,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,
HROCK EAST,CMOC T/A NORTHPARKES MINE     ,NORTHPARKES MINING SERVICES P/L (JA189),PCT30*3600S    ,RESIN INSERTER TUBE ONLY PVC 30MM X 3.6M SOFT ,,,,140,40,40,60,60,,160,80,40,40,,,,,,140,,,,,40,,,,,,40,,,40,20,,,60,,,,,,,,,20,,,,,,,,,,,,,,,40,100,40,,80,,,,40,,,
HROCK EAST,CMOC T/A NORTHPARKES MINE     ,NORTHPARKES MINING SERVICES P/L (JA189),PULL47G        ,PULL COLLAR TO SUIT 47MM DIA FRICTION LOK - GAL ,,100,250,200,200,100,100,450,,100,,,200,,,,,100,,,100,,,,,200,,100,,100,,,100,,,450,,,,,,,,,,,,,,,,,,,250,,,,,,,,100,,,,,,200,,,
HROCK EAST,CMOC T/A NORTHPARKES MINE     ,NORTHPARKES MINING SERVICES P/L (JA189),T38D47FL10     ,DOLLIE T38 COMBINATION FRICTION LOK ,,,6,8,3,3,,,,,,,21,,,,,5,3,,,3,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,6,10,5,15
HROCK EAST,CMOC T/A NORTHPARKES MINE     ,NORTHPARKES MINING SERVICES P/L (JA189),T38MLOK24036AF ,DOLLIE T38 X 36AF 240MM LONG TO SUIT MECH LOK ,,,,2,8,,,,,,,,,,,,,2,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HROCK EAST,CMOC T/A NORTHPARKES MINE     ,NORTHPARKES MINING SERVICES P/L (JA189),T38MSR600T45F  ,SPEED ROD T45FM X T38M 600MM LONG ,,,6,4,1,5,8,14,,,,,,,,,,4,,,,1,,,,,,,,5,,,5,3,,7,,,,,7,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,
HROCK EAST,CMOC T/A NORTHPARKES MINE     ,NORTHPARKES MINING SERVICES P/L (JA189),T38WIL90036AF  ,DOLLIE T38 X 36AF 900MM LONG TO SUIT J-TECH WILCO,8,,5,,,,,12,,,,,,,8,,,,,,,,,,,,,,,,,,,,,2,,,,10,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,
HROCK EAST,CMOC T/A NORTHPARKES MINE     ,NORTHPARKES MINING SERVICES P/L (JA189),T45WIL90036AF  ,DOLLIE T45 X 36AF 900MM Long Wilco ,,,10,,,,,,,17,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,7,,10,,,,,,20,5,
HROCK EAST,COBAR MANAGEMENT              ,COBAR MANAGEMENT P/L (JA142),4TRIAL         , ,,,,,,,,1,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,
HROCK EAST,COBAR MANAGEMENT              ,COBAR MANAGEMENT P/L (JA142),BW152MMD50     ,BARREL & WEDGE TO SUIT 15.2MM CABLE DOMED 50MM ,,1500,500,,1500,1500,,,1000,,1000,,500,,,,,,,,,,,,,1500,,,,1000,500,,,,,,,,,,,,,,1000,,,,1000,,,1500,,,,500,,,,,,,,,,,,,,500,,
HROCK EAST,COBAR MANAGEMENT              ,COBAR MANAGEMENT P/L (JA142),CCP300310108G  ,MESH STRAP 3.0MX0.3M 100X100 APT 8.0MM WIRE- GAL IMG8-44-3003_MS905778,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,
HROCK EAST,COBAR MANAGEMENT              ,COBAR MANAGEMENT P/L (JA142),CCP30241010056G,100x100x3000x2400x5.6 Ind Mesh P IMG5H-44-3024_JEN,,,,100,,,,550,,,,,550,,,,,,100,,,,,,,,,,,,,,,,,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,
HROCK EAST,COBAR MANAGEMENT              ,COBAR MANAGEMENT P/L (JA142),CCP45241010056G,MESH MINE 4.5MX2.4M 100X100 AP IMG5H-44-4524_JEN,1100,1100,,1100,1100,,2200,,1100,1100,1100,,550,,,1100,,,,1100,,,,,1100,,,1100,,,,1100,,,1100,,,,,,,1100,,,,,,,,1100,,,,,,,,,,,,,,1100,,,,,,550,,
HROCK EAST,COBAR MANAGEMENT              ,COBAR MANAGEMENT P/L (JA142),CCP48241010056G,Mine Mesh 4800X2400mm 100x100mm Apt 5.6mm wire Galv IMG5H-44-4824,,,,,1000,,1000,,,1000,,500,500,,,,,,,,,,,,,1000,,,,,,,,500,500,,,,,,,,,,,1000,,,,,,,,,,,,,,500,,,,,,,,,,500,,
