comment,ross_order,dmw_product,ross_code,qty,same_next_day,date,week,qty_day_m1,achvd_day_m1,achvd_aft_m1,qty_night_m1,achvd_night_m1,qty_day_m2,achvd_day_m2,achvd_aft_m2,qty_night_m2,achvd_night_m2,qty_day_m3,achvd_day_m3,achvd_aft_m3,qty_night_m3,achvd_night_m3,qty_day_m4,achvd_day_m4,qty_aft_m4,achvd_aft_m4,qty_night_m4,achvd_night_m4,kg_pce,plan_totals_kg,act_totals_kg,total_pcs_m1,total_pcs_m2,total_pcs_m3,total_pcs_m4,pcs_hr
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-06-19,25,,300.0,,,,,300.0,,,,,,,,,,,,,,,21.5,0.0,12900.0,300.0,300.0,0.0,0.0,75.0
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-06-20,25,,450.0,,,,,300.0,,,,,,,,,,,,,,,22.5,0.0,16875.0,450.0,300.0,0.0,0.0,76.0
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-06-21,25,,450.0,,,,,300.0,,,,,,,,,,,,,,,23.5,0.0,17625.0,450.0,300.0,0.0,0.0,77.0
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-06-22,26,,450.0,,,,,,,,,,,,,,,,,,,,24.5,0.0,11025.0,450.0,0.0,0.0,0.0,78.0
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-06-23,26,,450.0,,,,,,,,,,,,,,,,,,,,25.5,0.0,11475.0,450.0,0.0,0.0,0.0,79.0
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-06-24,26,,450.0,,,,,,,,,,,,,,,300.0,,,,,26.5,0.0,19875.0,450.0,0.0,0.0,300.0,80.0
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-06-25,26,,150.0,,,,,,,,,,,,,,,,,,,,27.5,0.0,4125.0,150.0,0.0,0.0,0.0,81.0
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-06-26,26,,,,,,,,,,,,,,,,,,,,,,28.5,0.0,0.0,0.0,0.0,0.0,0.0,82.0
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-06-27,26,,,,,,,,,,,,,,,,,,,,,,29.5,0.0,0.0,0.0,0.0,0.0,0.0,83.0
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-06-28,26,,,,,,,,,,,,,,,,,,,,,,30.5,0.0,0.0,0.0,0.0,0.0,0.0,84.0
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-06-29,27,,,,,,,,,,,,,,,,,,,,,,31.5,0.0,0.0,0.0,0.0,0.0,0.0,85.0
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-06-30,27,,,,,,,,,,,,,,,,,,,,,,32.5,0.0,0.0,0.0,0.0,0.0,0.0,86.0
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-07-01,27,,,,,,,,,,,,,,,,,300.0,,,,,33.5,0.0,10050.0,0.0,0.0,0.0,300.0,87.0
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-07-02,27,,,,,,,,,,,,,,,,,150.0,,,,,34.5,0.0,5175.0,0.0,0.0,0.0,150.0,88.0
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-07-03,27,,,,,,,,,,,,,,,,,150.0,,,,,35.5,0.0,5325.0,0.0,0.0,0.0,150.0,89.0
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-07-04,27,,,,,,,,,,,,,,,,,,,,,,36.5,0.0,0.0,0.0,0.0,0.0,0.0,90.0
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-07-05,27,,,,,,,,,,,,,,,,,,,,,,37.5,0.0,0.0,0.0,0.0,0.0,0.0,91.0
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-07-06,28,,,,,,,,,,,,,,,,,,,,,,38.5,0.0,0.0,0.0,0.0,0.0,0.0,92.0
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-07-07,28,,,,,,,,,,,,,,,,,150.0,,,,,39.5,0.0,5925.0,0.0,0.0,0.0,150.0,93.0
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-07-08,28,,,,,,,,,,,,,,,,,,,,,,40.5,0.0,0.0,0.0,0.0,0.0,0.0,94.0
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-07-09,28,,,,,,,,,,,,,,,,,,,,,,41.5,0.0,0.0,0.0,0.0,0.0,0.0,95.0
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-07-10,28,,,,,,,,,,,,,,,,,,,,,,42.5,0.0,0.0,0.0,0.0,0.0,0.0,96.0
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-07-11,28,,,,,,,,,,,,,,,,,,,,,,43.5,0.0,0.0,0.0,0.0,0.0,0.0,97.0
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-07-12,28,,,,,,,,,,,,,,,,,,,,,,44.5,0.0,0.0,0.0,0.0,0.0,0.0,98.0
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-07-13,29,,,,,,,,,,,,,,,,,,,,,,45.5,0.0,0.0,0.0,0.0,0.0,0.0,99.0
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-07-14,29,,,,,,,,,,,,,,,,,,,,,,46.5,0.0,0.0,0.0,0.0,0.0,0.0,100.0
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-07-15,29,,,,,,,,,,,,,,,,,,,,,,47.5,0.0,0.0,0.0,0.0,0.0,0.0,101.0
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-07-16,29,,,,,,,,,,,,,,,,,,,,,,48.5,0.0,0.0,0.0,0.0,0.0,0.0,102.0
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-07-17,29,,,,,,,,,,,,,,,,,,,,,,49.5,0.0,0.0,0.0,0.0,0.0,0.0,103.0
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-07-18,29,,,,,,,,,,,,,,,,,,,,,,50.5,0.0,0.0,0.0,0.0,0.0,0.0,104.0
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-07-19,29,,,,,,,,,,,,,,,,,300.0,,,,,51.5,0.0,15450.0,0.0,0.0,0.0,300.0,105.0
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-07-20,30,,,,,,,,,,,,,,,,,,,,,,52.5,0.0,0.0,0.0,0.0,0.0,0.0,106.0
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-07-21,30,,,,,,,,,,,,,,,,,300.0,,,,,,,,,,,,
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-07-22,30,,,,,,,,,,,,,,,,,150.0,,,,,,,,,,,,
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-07-23,30,,,,,,,,,,,,,,,,,450.0,,,,,,,,,,,,
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-07-24,30,,450.0,,,,,150.0,,,,,,,,,,450.0,,,,,,,,,,,,
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-07-25,30,,450.0,,,,,,,,,,,,,,,450.0,,,,,,,,,,,,
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-07-26,30,,450.0,,,,,,,,,,,,,,,450.0,,,,,,,,,,,,
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-07-27,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-07-28,31,,150.0,,,,,,,,,,,,,,,300.0,,,,,,,,,,,,
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-07-29,31,,450.0,,,,,,,,,,,,,,,300.0,,,,,,,,,,,,
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-07-30,31,,300.0,,,,,,,,,,,,,,,450.0,,,,,,,,,,,,
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-07-31,31,,450.0,,,,,300.0,,,,,,,,,,300.0,,,,,,,,,,,,
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-08-01,31,,,,,,,,,,,,,,,,,450.0,,,,,,,,,,,,
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-08-02,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-08-03,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-08-04,32,,,,,,,,,,,,,,,,,88.0,,,,,,,,,,,,
,,,,,N,2025-08-05,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-08-06,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-08-07,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-08-08,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-08-09,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-08-10,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-08-11,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-08-12,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-08-13,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-08-14,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-08-15,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-08-16,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-08-17,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-08-18,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-08-19,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-08-20,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-08-21,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-08-22,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-08-23,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-08-24,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-08-25,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-08-26,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-08-27,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-08-28,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-08-29,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-08-30,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-08-31,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-09-01,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-09-02,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-09-03,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-09-04,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-09-05,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-09-06,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-09-07,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-09-08,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-09-09,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-09-10,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-09-11,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-09-12,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-09-13,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-09-14,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-09-15,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-09-16,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-09-17,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-09-18,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-09-19,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-09-20,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-09-21,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-09-22,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-09-23,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-09-24,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-09-25,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-09-26,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-09-27,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-09-28,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-09-29,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-09-30,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-10-01,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WIP,39mm X  1829FLOK Galv,JFL3918G,51000.0,N,2025-10-02,40,,,,,,,,,,,,,,,,,300.0,5.0,,,,,,,,,,,
,,,,,N,2025-10-03,40,,,,,,,,,,,,,,,,,300.0,4.0,,,,,,,,,,,
,,,,,N,2025-10-04,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-10-05,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-10-06,41,,,,,,,,,,,,,,,,,300.0,3.0,,,,,,,,,,,
,,,,,N,2025-10-07,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-10-08,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-10-09,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-10-10,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-10-11,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-10-12,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-10-13,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-10-14,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-10-15,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-10-16,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-10-17,42,,,,,,,,,,,,,,,,,300.0,3.0,,,,,,,,,,,
,,,,,N,2025-10-18,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-10-19,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-10-20,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-10-21,43,,,,,,,,,,,,,,,,,600.0,6.0,,,,,,,,,,,
,,,,,N,2025-10-22,43,,,,,,,,,,,,,,,,,300.0,3.0,,,,,,,,,,,
,,,,,N,2025-10-23,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-10-24,43,,,,,,,,,,,,,,,,,300.0,3.0,,,,,,,,,,,
,,,,,N,2025-10-25,43,,,,,,,,,,,,,,,,,600.0,5.0,,,,,,,,,,,
,,,,,N,2025-10-26,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-10-27,44,,,,,,,,,,,,,,,,,300.0,9.0,,,,,,,,,,,
,,,,,N,2025-10-28,44,,,,,,,,,,,,,,,,,300.0,3.0,,,,,,,,,,,
,,,,,N,2025-10-29,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-10-30,44,,,,,,,300.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-10-31,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-11-01,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-11-02,45,,,,,,,300.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-11-03,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-11-04,45,,,,,,,,,,,,,,,,,300.0,3.0,,,,,,,,,,,
,,,,,N,2025-11-05,45,,,,,,,300.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-11-06,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-11-07,45,,,,,,,,,,,,,,,,,300.0,3.0,,,,,,,,,,,
,,,,,N,2025-11-08,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-11-09,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-11-10,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-11-11,46,,,,,,,,,,,,,,,,,600.0,5.0,,,,,,,,,,,
,,,,,N,2025-11-12,46,,300.0,,,,,,,,,,,,,,,300.0,4.0,,,,,,,,,,,
,,,,,N,2025-11-13,46,,,,,,,,,,,,,,,,,600.0,7.0,,,,,,,,,,,
,,,,,N,2025-11-14,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-11-15,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-11-16,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-11-17,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-11-18,47,,600.0,,,,,,,,,,,,,,,600.0,,,,,,,,,,,,
,,,,,N,2025-11-19,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-11-20,47,,300.0,,,,,,,,,,,,,,,900.0,9.0,,,,,,,,,,,
,,,,,N,2025-11-21,47,,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-11-22,47,,,,,,,,,,,,,,,,,900.0,9.0,,,,,,,,,,,
,,,,,N,2025-11-23,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-11-24,48,,600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,572955,FRICTION LOK BOLT 39MMX1829MM,JFLI3972BL,,N,2025-11-25,48,,,,,,,,,,,,900.0,,,,,,,,,,,,,,,,,
,,,,,N,2025-11-26,48,,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-11-27,48,,300.0,,,,,,,,,,900.0,,,,,,,,,,,,,,,,,
,,,,,N,2025-11-28,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-11-29,48,,,,,,,,,,,,600.0,,,,,,,,,,,,,,,,,
,,,,,N,2025-11-30,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-12-01,49,,600.0,,,,,,,,,,300.0,,,,,,,,,,,,,,,,,
,,,,,N,2025-12-02,49,,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-12-03,49,,300.0,,,,,,,,,,900.0,,,,,,,,,,,,,,,,,
,,,,,N,2025-12-04,49,,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-12-05,49,,,,,,,,,,,,600.0,,,,,,,,,,,,,,,,,
,,,,,N,2025-12-06,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-12-07,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-12-08,50,,600.0,,,,,,,,,,600.0,,,,,,,,,,,,,,,,,
,,,,,N,2025-12-09,50,,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-12-10,50,,,,,,,,,,,,600.0,,,,,,,,,,,,,,,,,
,,,,,N,2025-12-11,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-12-12,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-12-13,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-12-14,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-12-15,51,,300.0,,,,,,,,,,600.0,,,,,,,,,,,,,,,,,
,,,,,N,2025-12-16,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-12-17,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-12-18,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-12-19,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-12-20,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-12-21,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-12-22,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-12-23,52,,300.0,,,,,,,,,,300.0,,,,,,,,,,,,,,,,,
,,,,,N,2025-12-24,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-12-25,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-12-26,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-12-27,52,,,,,,,,,,,,600.0,,,,,,,,,,,,,,,,,
,,,,,N,2025-12-28,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2025-12-29,53,,,,,,,,,,,,300.0,,,,,,,,,,,,,,,,,
,,,,,N,2025-12-30,53,,,,,,,,,,,,600.0,,,,,,,,,,,,,,,,,
,,,,,N,2025-12-31,53,,,,,,,,,,,,300.0,,,,,,,,,,,,,,,,,
,,,,,N,2026-01-01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2026-01-02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2026-01-03,1,,,,,,,,,,,,600.0,,,,,,,,,,,,,,,,,
,,,,,N,2026-01-04,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2026-01-05,2,,,,,,,,,,,,600.0,,,,,,,,,,,,,,,,,
,,,,,N,2026-01-06,2,,,,,,,,,,,,600.0,,,,,,,,,,,,,,,,,
,572955,FRICTION LOK BOLT 39MMX1829MM,JFLI3972BL,,N,2026-01-07,2,,600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2026-01-08,2,,300.0,,,,,,,,,,600.0,,,,,,,,,,,,,,,,,
,,,,,N,2026-01-09,2,,300.0,,,,,,,,,,600.0,,,,,,,,,,,,,,,,,
,,,,,N,2026-01-10,2,,300.0,,,,,,,,,,300.0,,,,,,,,,,,,,,,,,
,,,,,N,2026-01-11,3,,300.0,,,,,,,,,,300.0,,,,,,,,,,,,,,,,,
,,,,,N,2026-01-12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2026-01-13,3,,300.0,,,,,,,,,,600.0,,,,,,,,,,,,,,,,,
,,,,,N,2026-01-14,3,,300.0,,,,,,,,,,300.0,,,,,,,,,,,,,,,,,
,,,,,N,2026-01-15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2026-01-16,3,,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2026-01-17,3,,600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,2026-01-18,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
